JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,ICETH(m),Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),     MAC,
 28846.000,   690.741,   343.245,     1.110,     0.000,     0.000,     0.000,     0.250,    36.725,   669.700,     1.000,     0.015,     1.602,    12.042,     0.000,   279.517,   307.141,   -13.185,   -26.481,     0.000,         0.000,
 28847.000,   629.663,   343.461,     1.132,     0.000,     0.000,     0.000,     0.250,    36.941,   669.700,     1.000,     0.019,     1.567,   -83.852,     0.000,   239.250,   303.322,    19.676,     0.104,     0.000,         0.000,
 28848.000,   770.529,   343.586,     1.195,     0.000,     0.000,     0.000,     0.250,    37.066,   683.800,     1.000,     0.030,     1.841,   -51.760,     0.000,   258.887,   303.476,     9.190,    -2.018,     0.000,         0.000,
 28849.000,   737.972,   343.655,     1.382,     0.000,     0.000,     0.000,     0.250,    37.135,   683.800,     1.000,     0.040,     1.923,   -67.875,     0.000,   249.172,   300.964,    16.083,     0.000,     0.000,         0.000,
 28850.000,   782.056,   343.676,     1.362,     0.000,     0.000,     0.000,     0.250,    37.156,   683.800,     1.000,     0.054,     1.794,   -81.644,     0.000,   231.896,   297.413,    13.520,     2.607,     0.000,         0.000,
 28851.000,  1024.285,   343.662,     1.355,     0.000,     0.000,     0.000,     0.250,    37.142,   683.800,     1.000,     0.066,     1.759,   -55.143,     0.000,   252.348,   299.280,    11.636,    -3.425,     0.000,         0.000,
 28852.000,   513.846,   343.643,     1.432,     0.000,     0.000,     0.000,     0.250,    37.123,   683.800,     1.000,     0.068,     1.760,    -5.668,     0.000,   272.293,   306.050,    -2.253,   -25.835,     0.000,         0.000,
 28853.000,   845.973,   343.644,     1.406,     0.000,     0.000,     0.000,     0.250,    37.124,   683.800,     1.000,     0.054,     1.657,    16.459,     0.000,   280.945,   308.748,   -12.430,   -31.833,     0.000,         0.000,
 28854.000,   774.706,   343.631,     1.466,     0.000,     0.000,     0.000,     0.250,    37.111,   683.800,     1.000,     0.054,     1.624,   -63.675,     0.000,   251.370,   299.358,    12.754,     2.934,     0.000,         0.000,
 28855.000,     1.000,   343.587,     1.526,     0.000,     0.000,     0.000,     0.250,    37.067,   683.800,     1.000,     0.066,     1.724,   -65.569,     0.000,   238.852,   297.835,     6.598,    -0.012,     0.000,         0.000,
